iter	Passed	Remaining
0	1	152
1	2	140
2	4	134
3	5	125
4	6	124
5	7	123
6	9	123
7	10	123
8	12	123
9	13	121
10	14	120
11	16	119
12	17	118
13	19	118
14	20	117
15	22	116
16	23	115
17	25	114
18	26	113
19	27	111
20	29	110
21	30	108
22	31	106
23	33	105
24	34	103
25	35	102
26	37	100
27	38	98
28	39	97
29	41	95
30	42	94
31	43	92
32	45	91
33	46	89
34	47	88
35	48	86
36	50	85
37	51	84
38	52	82
39	54	81
40	55	80
41	56	77
42	57	76
43	58	75
44	60	73
45	61	72
46	63	71
47	64	69
48	65	68
49	66	66
50	68	65
51	69	64
52	71	63
53	72	61
54	73	59
55	74	58
56	75	57
57	77	55
58	78	54
59	79	53
60	81	51
61	82	50
62	83	49
63	85	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	92	39
70	94	38
71	95	37
72	96	35
73	98	34
74	99	33
75	100	31
76	102	30
77	103	29
78	104	27
79	105	26
80	107	25
81	108	23
82	109	22
83	111	21
84	112	19
85	113	18
86	115	17
87	116	15
88	117	14
89	119	13
90	120	11
91	122	10
92	123	9
93	125	8
94	127	6
95	128	5
96	130	4
97	131	2
98	132	1
99	134	0
